ID  Estado  link    w_gen   w_out   t_gen   t_recv  t_diff  Medicion
rygy9fdq8	swapped	node_etsiinf_upm-node_cedint_upm	1	0.94327	10:36.037	10:36.621	0.58400	0
m7dwzdnir	swapped	node_rectorado_upm-node_cedint_upm	1	0.99024	10:36.029	10:36.127	0.09800	1
m7dwzdnir_rygy9fdq8	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
8a9dnhc3i	active	node_rectorado_upm-node_etsiinf_upm	0.9902363271978283	0.93406	10:36.029	10:37.748	1.71900	""
vjyl3rkf2	swapped	node_etsiinf_upm-node_cedint_upm	1	0.93445	10:40.222	10:40.900	0.67800	1
x5tso508t	swapped	node_rectorado_upm-node_cedint_upm	1	0.98994	10:40.215	10:40.316	0.10100	0
x5tso508t_vjyl3rkf2	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
0zzl7r7k0	active	node_rectorado_upm-node_etsiinf_upm	0.9899393008558437	0.92505	10:40.215	10:41.816	1.40100	""
wkj8izl7g_2v88hexdx	swapper	node_cedint_upm-['node_rectorado_upm','node_etsiinf_upm']	""	""	""	""	""	""
2v88hexdx	swapped	node_etsiinf_upm-node_cedint_upm	1	0.87871	10:43.793	10:45.086	1.29300	0
wkj8izl7g	swapped	node_rectorado_upm-node_cedint_upm	1	0.99024	10:43.785	10:43.883	0.09800	1
27n8tfezu	active	node_rectorado_upm-node_etsiinf_upm	0.990236327197817	0.87013	10:43.785	10:45.180	1.39500	""

