event,id,t,t_diff,t_end,t_end_recv,t_start
RECV_BEFORE_UPDATE,27ls81spj,17:45.355965,,,,
RECV_BEFORE_NOTIFY,27ls81spj,17:45.356257,,,,
SOCKET_ACCEPT,NONE,17:45.358380,,,,
SOCKET_HANDLER_START,NONE,17:45.358695,,,,
SOCKET_RECV_DONE,NONE,17:45.358764,,,,
SOCKET_ACCEPT,NONE,17:45.363235,,,,
SOCKET_ACCEPT,NONE,17:45.363752,,,,
SOCKET_HANDLER_START,NONE,17:45.363691,,,,
SOCKET_RECV_DONE,NONE,17:45.363869,,,,
SOCKET_ACCEPT,NONE,17:45.364096,,,,
SOCKET_HANDLER_START,NONE,17:45.364192,,,,
SOCKET_RECV_DONE,NONE,17:45.364232,,,,
SOCKET_HANDLER_START,NONE,17:45.364379,,,,
SOCKET_ACCEPT,NONE,17:45.364700,,,,
SOCKET_RECV_DONE,NONE,17:45.364795,,,,
SOCKET_HANDLER_START,NONE,17:45.365041,,,,
SOCKET_RECV_DONE,NONE,17:45.365336,,,,
RECV_TOTAL_no_plots,27ls81spj,,0.01757099999986167,,17:45.369706,17:45.352135
CreateEPR_backend,27ls81spj,,0.022811,17:45.391193,,17:45.368382
CreateEPR_notify,27ls81spj,,0.000110,17:45.391435,,17:45.391325
CreateEPR_total,27ls81spj,,0.023118,17:45.391469,,17:45.368351
CreateEPR_backend,24x1lq0it,,0.030126,17:45.399000,,17:45.368874
CreateEPR_notify,24x1lq0it,,0.000313,17:45.399511,,17:45.399198
CreateEPR_total,24x1lq0it,,0.030752,17:45.399593,,17:45.368841
RECV_TOTAL,27ls81spj,,0.18957000000000335,,17:45.541705,17:45.352135
SOCKET_AFTER_RECV_EPR,27ls81spj,17:45.541808,,,,
SOCKET_AFTER_SEND_RECV_EPR,27ls81spj,17:45.541913,,,,
ORDER_RECV_EXECUTING,24x1lq0it,,,,,32:30.393874
SOCKET_ACCEPT,NONE,17:45.543510,,,,
SOCKET_HANDLER_START,NONE,17:45.543856,,,,
SOCKET_ACCEPT,NONE,17:45.543928,,,,
SOCKET_RECV_DONE,NONE,17:45.544142,,,,
SOCKET_HANDLER_START,NONE,17:45.544355,,,,
SOCKET_RECV_DONE,NONE,17:45.544676,,,,
SOCKET_BEFORE_RECV_EPR,24x1lq0it,17:45.547204,,,,
RECV_ENTER,24x1lq0it,17:45.547271,,,,
RECV_EPR_START,24x1lq0it,,,,,17:45.547269
ReceiveEPR,24x1lq0it,,0.001292,17:45.548561,,17:45.547269
RECV_BEFORE_MONITOR,24x1lq0it,17:45.548649,,,,
RECV_BEFORE_UPDATE,24x1lq0it,17:45.548822,,,,
RECV_BEFORE_NOTIFY,24x1lq0it,17:45.548986,,,,
SOCKET_ACCEPT,NONE,17:45.549924,,,,
SOCKET_HANDLER_START,NONE,17:45.550555,,,,
SOCKET_RECV_DONE,NONE,17:45.550706,,,,
RECV_TOTAL_no_plots,24x1lq0it,,0.006244000000151573,,17:45.553513,17:45.547269
RECV_TOTAL,24x1lq0it,,0.18866300000013325,,17:45.735932,17:45.547269
SOCKET_AFTER_RECV_EPR,24x1lq0it,17:45.736036,,,,
SOCKET_AFTER_SEND_RECV_EPR,24x1lq0it,17:45.736221,,,,
SOCKET_ACCEPT,NONE,17:50.475176,,,,
SOCKET_HANDLER_START,NONE,17:50.475435,,,,
SOCKET_RECV_DONE,NONE,17:50.475535,,,,
SOCKET_ACCEPT,NONE,17:50.475644,,,,
SOCKET_ACCEPT,NONE,17:50.475616,,,,
SOCKET_HANDLER_START,NONE,17:50.475852,,,,
SOCKET_RECV_DONE,NONE,17:50.476074,,,,
SOCKET_ACCEPT,NONE,17:50.476063,,,,
SOCKET_HANDLER_START,NONE,17:50.476510,,,,
SOCKET_RECV_DONE,NONE,17:50.476759,,,,
SOCKET_HANDLER_START,NONE,17:50.475955,,,,
SOCKET_RECV_DONE,NONE,17:50.476830,,,,
CreateEPR_backend,d1jnl0d6p,,0.007083,17:50.486429,,17:50.479346
CreateEPR_notify,d1jnl0d6p,,0.000413,17:50.487027,,17:50.486614
CreateEPR_total,d1jnl0d6p,,0.007850,17:50.487137,,17:50.479287
CreateEPR_backend,4yane3pmd,,0.007869,17:50.487909,,17:50.480040
CreateEPR_notify,4yane3pmd,,0.000400,17:50.488521,,17:50.488121
CreateEPR_total,4yane3pmd,,0.008610,17:50.488590,,17:50.479980
ORDER_RECV_EXECUTING,4yane3pmd,,,,,32:35.340313
